"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","11.6","N/A","0","0.3",2015-12-31,"DDFS",39.17,-75.59
"1","11.4","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"2","11.2","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"3","11.0","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"4","10.7","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"5","10.7","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"6","10.5","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"7","10.3","N/A","6","0.0",2015-12-31,"DDFS",39.17,-75.59
"8","10.2","N/A","42","0.0",2015-12-31,"DDFS",39.17,-75.59
"9","10.6","N/A","123","0.0",2015-12-31,"DDFS",39.17,-75.59
"10","10.9","N/A","162","0.0",2015-12-31,"DDFS",39.17,-75.59
"11","11.1","N/A","180","0.0",2015-12-31,"DDFS",39.17,-75.59
"12","11.2","N/A","194","0.0",2015-12-31,"DDFS",39.17,-75.59
"13","11.5","N/A","227","0.0",2015-12-31,"DDFS",39.17,-75.59
"14","12.2","N/A","197","0.0",2015-12-31,"DDFS",39.17,-75.59
"15","11.9","N/A","71","0.0",2015-12-31,"DDFS",39.17,-75.59
"16","10.9","N/A","12","0.0",2015-12-31,"DDFS",39.17,-75.59
"17","9.7","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"18","8.5","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"19","7.5","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"20","6.8","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"21","6.2","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"22","5.8","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"23","5.6","N/A","0","0.0",2015-12-31,"DDFS",39.17,-75.59
"0","11.2","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"1","10.4","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"2","9.3","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"3","8.5","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"4","7.6","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"5","8.1","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"6","9.1","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"7","8.9","N/A","6","0.0",2015-12-30,"DDFS",39.17,-75.59
"8","9.0","N/A","24","0.0",2015-12-30,"DDFS",39.17,-75.59
"9","9.6","N/A","76","0.0",2015-12-30,"DDFS",39.17,-75.59
"10","10.4","N/A","120","0.0",2015-12-30,"DDFS",39.17,-75.59
"11","10.8","N/A","124","0.0",2015-12-30,"DDFS",39.17,-75.59
"12","11.4","N/A","136","0.0",2015-12-30,"DDFS",39.17,-75.59
"13","11.6","N/A","69","0.0",2015-12-30,"DDFS",39.17,-75.59
"14","11.3","N/A","38","0.0",2015-12-30,"DDFS",39.17,-75.59
"15","11.1","N/A","16","0.0",2015-12-30,"DDFS",39.17,-75.59
"16","11.0","N/A","3","0.0",2015-12-30,"DDFS",39.17,-75.59
"17","11.1","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"18","11.2","N/A","0","2.0",2015-12-30,"DDFS",39.17,-75.59
"19","11.1","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"20","11.5","N/A","0","0.3",2015-12-30,"DDFS",39.17,-75.59
"21","11.8","N/A","0","0.0",2015-12-30,"DDFS",39.17,-75.59
"22","12.3","N/A","0","0.3",2015-12-30,"DDFS",39.17,-75.59
"23","12.2","N/A","0","0.3",2015-12-30,"DDFS",39.17,-75.59
"0","8.0","N/A","0","1.0",2015-12-29,"DDFS",39.17,-75.59
"1","8.7","N/A","0","1.8",2015-12-29,"DDFS",39.17,-75.59
"2","9.4","N/A","0","1.8",2015-12-29,"DDFS",39.17,-75.59
"3","10.0","N/A","0","2.5",2015-12-29,"DDFS",39.17,-75.59
"4","10.6","N/A","0","3.8",2015-12-29,"DDFS",39.17,-75.59
"5","11.2","N/A","0","2.8",2015-12-29,"DDFS",39.17,-75.59
"6","11.9","N/A","0","0.5",2015-12-29,"DDFS",39.17,-75.59
"7","12.4","N/A","3","1.0",2015-12-29,"DDFS",39.17,-75.59
"8","12.1","N/A","10","0.3",2015-12-29,"DDFS",39.17,-75.59
"9","12.5","N/A","35","0.0",2015-12-29,"DDFS",39.17,-75.59
"10","13.8","N/A","49","0.3",2015-12-29,"DDFS",39.17,-75.59
"11","13.9","N/A","127","0.0",2015-12-29,"DDFS",39.17,-75.59
"12","14.1","N/A","189","0.0",2015-12-29,"DDFS",39.17,-75.59
"13","13.8","N/A","154","0.0",2015-12-29,"DDFS",39.17,-75.59
"14","13.3","N/A","75","0.0",2015-12-29,"DDFS",39.17,-75.59
"15","12.4","N/A","39","0.0",2015-12-29,"DDFS",39.17,-75.59
"16","11.8","N/A","10","0.0",2015-12-29,"DDFS",39.17,-75.59
"17","11.7","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"18","11.7","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"19","11.6","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"20","11.7","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"21","11.7","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"22","11.7","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"23","11.5","N/A","0","0.0",2015-12-29,"DDFS",39.17,-75.59
"0","10.8","N/A","0","0.3",2015-12-28,"DDFS",39.17,-75.59
"1","9.6","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"2","8.8","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"3","7.9","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"4","7.0","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"5","6.1","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"6","5.8","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"7","5.4","N/A","6","0.0",2015-12-28,"DDFS",39.17,-75.59
"8","5.8","N/A","68","0.0",2015-12-28,"DDFS",39.17,-75.59
"9","6.0","N/A","83","0.0",2015-12-28,"DDFS",39.17,-75.59
"10","6.4","N/A","142","0.0",2015-12-28,"DDFS",39.17,-75.59
"11","7.0","N/A","167","0.0",2015-12-28,"DDFS",39.17,-75.59
"12","7.2","N/A","150","0.0",2015-12-28,"DDFS",39.17,-75.59
"13","7.1","N/A","88","0.0",2015-12-28,"DDFS",39.17,-75.59
"14","7.2","N/A","71","0.0",2015-12-28,"DDFS",39.17,-75.59
"15","7.1","N/A","26","0.0",2015-12-28,"DDFS",39.17,-75.59
"16","6.8","N/A","4","0.0",2015-12-28,"DDFS",39.17,-75.59
"17","6.7","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"18","6.9","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"19","7.4","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"20","8.0","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"21","7.7","N/A","0","0.0",2015-12-28,"DDFS",39.17,-75.59
"22","7.9","N/A","0","0.5",2015-12-28,"DDFS",39.17,-75.59
"23","8.0","N/A","0","1.0",2015-12-28,"DDFS",39.17,-75.59
"0","10.2","99","0","0.3",2015-12-27,"DDFS",39.17,-75.59
"1","10.3","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"2","10.3","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"3","10.4","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"4","10.4","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"5","10.5","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"6","10.8","99","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"7","11.7","99","7","0.0",2015-12-27,"DDFS",39.17,-75.59
"8","13.2","99","54","0.0",2015-12-27,"DDFS",39.17,-75.59
"9","15.2","96","109","0.0",2015-12-27,"DDFS",39.17,-75.59
"10","17.2","92","170","0.0",2015-12-27,"DDFS",39.17,-75.59
"11","18.2","N/A","171","0.0",2015-12-27,"DDFS",39.17,-75.59
"12","18.8","N/A","178","0.0",2015-12-27,"DDFS",39.17,-75.59
"13","18.8","N/A","150","0.0",2015-12-27,"DDFS",39.17,-75.59
"14","19.8","N/A","169","0.0",2015-12-27,"DDFS",39.17,-75.59
"15","20.5","N/A","94","0.0",2015-12-27,"DDFS",39.17,-75.59
"16","20.5","N/A","19","0.0",2015-12-27,"DDFS",39.17,-75.59
"17","20.4","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"18","20.5","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"19","20.6","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"20","19.6","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"21","17.9","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"22","14.6","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"23","12.7","N/A","0","0.0",2015-12-27,"DDFS",39.17,-75.59
"0","15.3","99","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"1","15.1","99","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"2","14.8","99","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"3","15.0","99","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"4","15.4","98","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"5","15.1","93","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"6","13.7","76","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"7","12.7","70","12","0.0",2015-12-26,"DDFS",39.17,-75.59
"8","12.5","67","44","0.0",2015-12-26,"DDFS",39.17,-75.59
"9","12.7","65","90","0.0",2015-12-26,"DDFS",39.17,-75.59
"10","13.2","63","139","0.0",2015-12-26,"DDFS",39.17,-75.59
"11","13.5","65","125","0.0",2015-12-26,"DDFS",39.17,-75.59
"12","13.7","67","100","0.0",2015-12-26,"DDFS",39.17,-75.59
"13","13.7","66","80","0.0",2015-12-26,"DDFS",39.17,-75.59
"14","13.4","68","73","0.0",2015-12-26,"DDFS",39.17,-75.59
"15","12.9","71","22","0.0",2015-12-26,"DDFS",39.17,-75.59
"16","12.5","75","5","0.0",2015-12-26,"DDFS",39.17,-75.59
"17","11.8","82","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"18","11.3","86","0","0.0",2015-12-26,"DDFS",39.17,-75.59
"19","10.8","91","0","0.0",2015-12-26,"DDFS",39.17,-75.59
