"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","7.3","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"1","7.2","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"2","7.2","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"3","7.3","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"4","6.7","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"5","5.7","99","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"6","5.7","97","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"7","5.4","93","8","0.0",2015-12-31,"DLWG",39.87,-75.68
"8","5.7","86","53","0.0",2015-12-31,"DLWG",39.87,-75.68
"9","6.2","84","145","0.0",2015-12-31,"DLWG",39.87,-75.68
"10","7.4","79","272","0.3",2015-12-31,"DLWG",39.87,-75.68
"11","7.9","73","275","0.0",2015-12-31,"DLWG",39.87,-75.68
"12","8.5","71","320","0.0",2015-12-31,"DLWG",39.87,-75.68
"13","8.3","69","347","0.0",2015-12-31,"DLWG",39.87,-75.68
"14","8.1","68","263","0.0",2015-12-31,"DLWG",39.87,-75.68
"15","7.0","69","81","0.0",2015-12-31,"DLWG",39.87,-75.68
"16","5.6","69","16","0.0",2015-12-31,"DLWG",39.87,-75.68
"17","4.8","70","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"18","4.3","70","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"19","4.2","71","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"20","4.3","70","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"21","4.0","69","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"22","3.6","67","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"23","3.3","68","0","0.0",2015-12-31,"DLWG",39.87,-75.68
"0","5.7","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"1","5.5","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"2","5.4","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"3","5.0","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"4","4.9","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"5","5.0","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"6","5.2","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"7","5.4","99","5","0.0",2015-12-30,"DLWG",39.87,-75.68
"8","5.6","99","39","0.0",2015-12-30,"DLWG",39.87,-75.68
"9","5.9","97","51","0.0",2015-12-30,"DLWG",39.87,-75.68
"10","6.0","94","47","0.0",2015-12-30,"DLWG",39.87,-75.68
"11","6.5","93","107","0.0",2015-12-30,"DLWG",39.87,-75.68
"12","6.5","95","55","0.0",2015-12-30,"DLWG",39.87,-75.68
"13","6.7","96","54","0.0",2015-12-30,"DLWG",39.87,-75.68
"14","7.0","95","45","0.0",2015-12-30,"DLWG",39.87,-75.68
"15","7.4","94","20","0.0",2015-12-30,"DLWG",39.87,-75.68
"16","7.6","94","5","0.0",2015-12-30,"DLWG",39.87,-75.68
"17","7.5","96","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"18","7.4","98","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"19","7.5","98","0","0.3",2015-12-30,"DLWG",39.87,-75.68
"20","7.5","99","0","0.8",2015-12-30,"DLWG",39.87,-75.68
"21","7.5","99","0","3.6",2015-12-30,"DLWG",39.87,-75.68
"22","7.4","99","0","0.8",2015-12-30,"DLWG",39.87,-75.68
"23","7.4","99","0","0.0",2015-12-30,"DLWG",39.87,-75.68
"0","3.4","97","0","2.0",2015-12-29,"DLWG",39.87,-75.68
"1","3.3","97","0","2.3",2015-12-29,"DLWG",39.87,-75.68
"2","3.7","97","0","3.0",2015-12-29,"DLWG",39.87,-75.68
"3","4.2","98","0","2.3",2015-12-29,"DLWG",39.87,-75.68
"4","5.0","98","0","3.0",2015-12-29,"DLWG",39.87,-75.68
"5","5.3","98","0","3.3",2015-12-29,"DLWG",39.87,-75.68
"6","5.7","98","0","0.3",2015-12-29,"DLWG",39.87,-75.68
"7","6.7","99","1","0.3",2015-12-29,"DLWG",39.87,-75.68
"8","7.4","99","7","0.5",2015-12-29,"DLWG",39.87,-75.68
"9","7.3","99","24","0.8",2015-12-29,"DLWG",39.87,-75.68
"10","6.1","99","68","0.0",2015-12-29,"DLWG",39.87,-75.68
"11","6.3","99","122","0.0",2015-12-29,"DLWG",39.87,-75.68
"12","6.9","98","144","0.0",2015-12-29,"DLWG",39.87,-75.68
"13","7.3","97","122","0.0",2015-12-29,"DLWG",39.87,-75.68
"14","7.5","98","78","0.0",2015-12-29,"DLWG",39.87,-75.68
"15","7.7","98","34","0.0",2015-12-29,"DLWG",39.87,-75.68
"16","7.8","98","7","0.0",2015-12-29,"DLWG",39.87,-75.68
"17","7.7","97","0","0.0",2015-12-29,"DLWG",39.87,-75.68
"18","7.0","98","0","0.0",2015-12-29,"DLWG",39.87,-75.68
"19","6.8","97","0","0.0",2015-12-29,"DLWG",39.87,-75.68
"20","6.5","97","0","0.0",2015-12-29,"DLWG",39.87,-75.68
"21","6.1","98","0","0.0",2015-12-29,"DLWG",39.87,-75.68
