"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"1","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"2","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"3","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"4","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"5","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"6","N/A","100","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"7","N/A","99","10","0.0",2015-12-31,"DDMV",39.67,-75.63
"8","N/A","90","43","0.0",2015-12-31,"DDMV",39.67,-75.63
"9","N/A","82","78","0.0",2015-12-31,"DDMV",39.67,-75.63
"10","N/A","76","125","0.0",2015-12-31,"DDMV",39.67,-75.63
"11","N/A","70","289","0.0",2015-12-31,"DDMV",39.67,-75.63
"12","N/A","62","416","0.0",2015-12-31,"DDMV",39.67,-75.63
"13","N/A","63","249","0.0",2015-12-31,"DDMV",39.67,-75.63
"14","N/A","63","213","0.0",2015-12-31,"DDMV",39.67,-75.63
"15","N/A","64","96","0.0",2015-12-31,"DDMV",39.67,-75.63
"16","N/A","67","16","0.0",2015-12-31,"DDMV",39.67,-75.63
"17","N/A","68","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"18","N/A","68","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"19","N/A","68","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"20","N/A","69","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"21","N/A","71","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"22","N/A","69","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"23","N/A","68","0","0.0",2015-12-31,"DDMV",39.67,-75.63
"0","8.6","100","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"1","N/A","100","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"2","N/A","99","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"3","N/A","99","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"4","N/A","99","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"5","N/A","99","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"6","N/A","99","0","0.0",2015-12-30,"DDMV",39.67,-75.63
"7","N/A","99","7","0.0",2015-12-30,"DDMV",39.67,-75.63
"8","N/A","97","32","0.0",2015-12-30,"DDMV",39.67,-75.63
"9","N/A","94","85","0.0",2015-12-30,"DDMV",39.67,-75.63
"10","N/A","96","86","0.0",2015-12-30,"DDMV",39.67,-75.63
"11","N/A","97","70","0.0",2015-12-30,"DDMV",39.67,-75.63
"12","N/A","96","77","0.0",2015-12-30,"DDMV",39.67,-75.63
"13","N/A","94","80","0.0",2015-12-30,"DDMV",39.67,-75.63
"14","N/A","92","61","0.0",2015-12-30,"DDMV",39.67,-75.63
